/home/auditor/app/ CREATE,ISDIR __pycache__
/home/auditor/app/__pycache__/ MODIFY utils.cpython-311.pyc.140220013510448
/home/auditor/app/__pycache__/ CREATE directory.cpython-311.pyc.140220013969904
/home/auditor/app/__pycache__/ MODIFY directory.cpython-311.pyc.140220013969904
/home/auditor/app/__pycache__/ CREATE cli_crypto.cpython-311.pyc.140220013970352
/home/auditor/app/__pycache__/ MODIFY cli_crypto.cpython-311.pyc.140220013970352
/home/auditor/app/__pycache__/ CREATE crypto.cpython-311.pyc.140220013975392
/home/auditor/app/__pycache__/ MODIFY crypto.cpython-311.pyc.140220013975392
/home/auditor/app/__pycache__/ CREATE server_keys.cpython-311.pyc.140220001290928
/home/auditor/app/__pycache__/ MODIFY server_keys.cpython-311.pyc.140220001290928
/home/auditor/app/__pycache__/ CREATE envelope.cpython-311.pyc.140220001290928
/home/auditor/app/__pycache__/ MODIFY envelope.cpython-311.pyc.140220001290928
/home/auditor/app/ CREATE socp.db
/home/auditor/app/ CREATE socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ DELETE socp.db-journal
/home/auditor/app/ CREATE socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ DELETE socp.db-journal
/home/auditor/app/ CREATE socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ DELETE socp.db-journal
/home/auditor/app/ CREATE socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db-journal
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ MODIFY socp.db
/home/auditor/app/ DELETE socp.db-journal
